drive_timestamp_ms,system_time_s,force_raw,position_raw,current_raw
0,1751944176.532019,0,0,0
0,1751944177.5331252,0,0,0
0,1751944178.5321982,0,0,0
0,1751944179.5325348,0,0,0
0,1751944180.5324824,0,0,0
0,1751944181.5327082,0,0,0
0,1751944182.532357,0,0,0
0,1751944183.5322716,0,0,0
0,1751944184.5326972,0,0,0
0,1751944185.532612,0,0,0
0,1751944186.5324724,0,0,0
0,1751944187.532623,0,0,0
0,1751944188.532592,0,0,0
0,1751944189.5324903,0,0,0
0,1751944190.532453,0,0,0
0,1751944191.532564,0,0,0
0,1751944192.5326731,0,0,0
0,1751944193.5322542,0,0,0
0,1751944194.5323732,0,0,0
0,1751944195.5325925,0,0,0
